code,name
A02BA02,雷尼替丁
A02BC03,兰索拉唑
A02BC05,艾司奥美拉唑
A04AA01,昂丹司琼
A06AB02,比沙可啶
A10BB01,格列本脲
A10BG03,吡格列酮
A10BJ02,利拉鲁肽
A10BK03,恩格列净
A11CC03,阿法骨化醇
A11GA01,维生素C
A12AA04,碳酸钙
B01AB05,依诺肝素
B02BA01,维生素K1
B03AA07,硫酸亚铁
B03BA01,维生素B12(氰钴胺)
B03BB01,叶酸
C01AA05,地高辛
C01BD01,胺碘酮
C01DA02,硝酸甘油
C03AA03,氢氯噻嗪
C07AG02,卡维地洛
C08DB01,地尔硫卓
C09AA02,依那普利
C09AA03,赖诺普利
C09CA04,厄贝沙坦
C09CA06,坎地沙坦
C09CA07,替米沙坦
C10AB05,非诺贝特
C10AX09,依折麦布
H02AB04,甲泼尼龙
H02AB09,氢化可的松
J01AA02,多西环素
J01DB04,头孢唑林
J01DD08,头孢克肟
J01EE01,复方磺胺甲噁唑
J01FA01,红霉素
J01FF01,克林霉素
J01XD01,甲硝唑
J05AB01,阿昔洛韦
M01AB05,双氯芬酸
M01AE02,萘普生
M04AA03,非布司他
N05CF02,唑吡坦
N06AB04,西酞普兰
R01AD09,糠酸莫米松(鼻用)
R03BA02,布地奈德(吸入)
R05CB01,乙酰半胱氨酸
R06AE07,西替利嗪
N02CC01,舒马普坦
