code,name
E03.9,未特指的甲状腺功能减退症
E04.1,非毒性单个甲状腺结节
E05.0,伴有弥漫性甲状腺肿的甲状腺毒症
E11.2,2型糖尿病伴有肾的并发症
E11.9,2型糖尿病不伴有并发症
E66.0,由于热量过多引起的肥胖
E78.0,单纯性高胆固醇血症
E78.1,单纯性高甘油三酯血症
E78.2,混合性高脂血症
E78.5,未特指的高脂血症
F32.9,未特指的抑郁发作
F41.1,广泛性焦虑障碍
G43.9,未特指的偏头痛
G47.0,入睡和维持睡眠障碍[失眠]
H25.9,未特指的老年性白内障
H40.1,原发性开角型青光眼
I20.0,不稳定性心绞痛
I21.0,前壁急性透壁性心肌梗死
I21.4,急性心内膜下心肌梗死
I25.1,动脉粥样硬化性心脏病
I48.0,阵发性心房颤动
I50.0,充血性心力衰竭
I50.9,未特指的心力衰竭
I63.9,未特指的脑梗死
J02.9,未特指的急性咽炎
J03.9,未特指的急性扁桃体炎
J06.9,未特指的急性上呼吸道感染
J18.9,未特指的肺炎
J20.9,未特指的急性支气管炎
J44.0,慢性阻塞性肺疾病伴有急性下呼吸道感染
J44.1,慢性阻塞性肺疾病伴有急性加重
J45.0,以变应为主的哮喘
K21.0,胃-食管反流病伴有食管炎
K29.5,未特指的慢性胃炎
K29.7,未特指的胃炎
K59.0,便秘
K76.0,脂肪(变性)肝(不可归类在他处者)
K80.2,胆囊结石不伴有胆囊炎
M17.9,未特指的膝关节病
M19.9,未特指的关节病
M47.8,其他的脊椎关节强硬(颈椎病)
M51.2,其他特指的椎间盘移位(腰椎间盘突出)
M54.2,颈痛
M54.5,腰痛
M81.9,未特指的骨质疏松
N18.9,未特指的慢性肾脏病
N20.0,肾结石
N39.0,部位未特指的泌尿道感染
R07.4,未特指的胸痛
R51,头痛
